participant_id,word,word_article,gender,age,last_degree,last_degree_parents,language_group,home_language,social_language,academic_language,english_level,professional_english,language_family
P12,Call,der,f,19,Abitur,Realschulabschluss,Russian,equally both,more german,less than 2 days/week,4 good ,okay,Indo-European
P12,Meeting,das,f,19,Abitur,Realschulabschluss,Russian,equally both,more german,less than 2 days/week,4 good ,okay,Indo-European
P12,Update,das,f,19,Abitur,Realschulabschluss,Russian,equally both,more german,less than 2 days/week,4 good ,okay,Indo-European
P12,Feedback,das,f,19,Abitur,Realschulabschluss,Russian,equally both,more german,less than 2 days/week,4 good ,okay,Indo-European
P12,Influencer,der,f,19,Abitur,Realschulabschluss,Russian,equally both,more german,less than 2 days/week,4 good ,okay,Indo-European
P12,Content,der,f,19,Abitur,Realschulabschluss,Russian,equally both,more german,less than 2 days/week,4 good ,okay,Indo-European
P12,Design,das,f,19,Abitur,Realschulabschluss,Russian,equally both,more german,less than 2 days/week,4 good ,okay,Indo-European
P12,Tool,das,f,19,Abitur,Realschulabschluss,Russian,equally both,more german,less than 2 days/week,4 good ,okay,Indo-European
P12,Workshop,der,f,19,Abitur,Realschulabschluss,Russian,equally both,more german,less than 2 days/week,4 good ,okay,Indo-European
P12,Agency,die,f,19,Abitur,Realschulabschluss,Russian,equally both,more german,less than 2 days/week,4 good ,okay,Indo-European
P12,Agreement,das,f,19,Abitur,Realschulabschluss,Russian,equally both,more german,less than 2 days/week,4 good ,okay,Indo-European
P12,Mockup,das,f,19,Abitur,Realschulabschluss,Russian,equally both,more german,less than 2 days/week,4 good ,okay,Indo-European
P13,Laptop,der,f,20,Abitur,Abitur,German,only L1,more L1,2-3 days/week,4 good ,okay,Germanic
P13,Call,der,f,20,Abitur,Abitur,German,only L1,more L1,2-3 days/week,4 good ,okay,Germanic
P13,Meeting,das,f,20,Abitur,Abitur,German,only L1,more L1,2-3 days/week,4 good ,okay,Germanic
P13,Update,das,f,20,Abitur,Abitur,German,only L1,more L1,2-3 days/week,4 good ,okay,Germanic
P13,Feedback,das,f,20,Abitur,Abitur,German,only L1,more L1,2-3 days/week,4 good ,okay,Germanic
P13,Influencer,der,f,20,Abitur,Abitur,German,only L1,more L1,2-3 days/week,4 good ,okay,Germanic
P13,Content,der,f,20,Abitur,Abitur,German,only L1,more L1,2-3 days/week,4 good ,okay,Germanic
P13,Design,das,f,20,Abitur,Abitur,German,only L1,more L1,2-3 days/week,4 good ,okay,Germanic
P13,Tool,das,f,20,Abitur,Abitur,German,only L1,more L1,2-3 days/week,4 good ,okay,Germanic
P13,Workshop,der,f,20,Abitur,Abitur,German,only L1,more L1,2-3 days/week,4 good ,okay,Germanic
P13,Agency,die,f,20,Abitur,Abitur,German,only L1,more L1,2-3 days/week,4 good ,okay,Germanic
P13,Agreement,das,f,20,Abitur,Abitur,German,only L1,more L1,2-3 days/week,4 good ,okay,Germanic
P13,Mockup,das,f,20,Abitur,Abitur,German,only L1,more L1,2-3 days/week,4 good ,okay,Germanic
P14,Laptop,der,m,24,Abitur,Bachelor,English,equally both,equally both,2-3 days/week,5 very good,very good,Germanic
P14,Call,der,m,24,Abitur,Bachelor,English,equally both,equally both,2-3 days/week,5 very good,very good,Germanic
P14,Meeting,das,m,24,Abitur,Bachelor,English,equally both,equally both,2-3 days/week,5 very good,very good,Germanic
P14,Update,das,m,24,Abitur,Bachelor,English,equally both,equally both,2-3 days/week,5 very good,very good,Germanic
P14,Feedback,das,m,24,Abitur,Bachelor,English,equally both,equally both,2-3 days/week,5 very good,very good,Germanic
P14,Influencer,der,m,24,Abitur,Bachelor,English,equally both,equally both,2-3 days/week,5 very good,very good,Germanic
P14,Content,der,m,24,Abitur,Bachelor,English,equally both,equally both,2-3 days/week,5 very good,very good,Germanic
P14,Design,das,m,24,Abitur,Bachelor,English,equally both,equally both,2-3 days/week,5 very good,very good,Germanic
P14,Tool,das,m,24,Abitur,Bachelor,English,equally both,equally both,2-3 days/week,5 very good,very good,Germanic
P14,Workshop,der,m,24,Abitur,Bachelor,English,equally both,equally both,2-3 days/week,5 very good,very good,Germanic
P14,Agency,die,m,24,Abitur,Bachelor,English,equally both,equally both,2-3 days/week,5 very good,very good,Germanic
P14,Agreement,das,m,24,Abitur,Bachelor,English,equally both,equally both,2-3 days/week,5 very good,very good,Germanic
P14,Mockup,der,m,24,Abitur,Bachelor,English,equally both,equally both,2-3 days/week,5 very good,very good,Germanic
P15,Laptop,das,f,20,Abitur,Diplom,Amharic,more L1,more german,less than 2 days/week,5 very good,very good,Afro-Asiatic
P15,Call,der,f,20,Abitur,Diplom,Amharic,more L1,more german,less than 2 days/week,5 very good,very good,Afro-Asiatic
P15,Meeting,das,f,20,Abitur,Diplom,Amharic,more L1,more german,less than 2 days/week,5 very good,very good,Afro-Asiatic
P15,Update,das,f,20,Abitur,Diplom,Amharic,more L1,more german,less than 2 days/week,5 very good,very good,Afro-Asiatic
P15,Feedback,das,f,20,Abitur,Diplom,Amharic,more L1,more german,less than 2 days/week,5 very good,very good,Afro-Asiatic
P15,Influencer,der,f,20,Abitur,Diplom,Amharic,more L1,more german,less than 2 days/week,5 very good,very good,Afro-Asiatic
P15,Content,der,f,20,Abitur,Diplom,Amharic,more L1,more german,less than 2 days/week,5 very good,very good,Afro-Asiatic
P15,Design,das,f,20,Abitur,Diplom,Amharic,more L1,more german,less than 2 days/week,5 very good,very good,Afro-Asiatic
P15,Tool,das,f,20,Abitur,Diplom,Amharic,more L1,more german,less than 2 days/week,5 very good,very good,Afro-Asiatic
P15,Workshop,der,f,20,Abitur,Diplom,Amharic,more L1,more german,less than 2 days/week,5 very good,very good,Afro-Asiatic
P15,Agency,die,f,20,Abitur,Diplom,Amharic,more L1,more german,less than 2 days/week,5 very good,very good,Afro-Asiatic
P15,Agreement,das,f,20,Abitur,Diplom,Amharic,more L1,more german,less than 2 days/week,5 very good,very good,Afro-Asiatic
P15,Mockup,der,f,20,Abitur,Diplom,Amharic,more L1,more german,less than 2 days/week,5 very good,very good,Afro-Asiatic
P16,Laptop,das,f,23,Abitur,Bachelor/ Handelsschule,Turkish,equally both,equally both,less than 2 days/week,4 good ,okay,Turkic
P16,Call,der,f,23,Abitur,Bachelor/ Handelsschule,Turkish,equally both,equally both,less than 2 days/week,4 good ,okay,Turkic
P16,Meeting,das,f,23,Abitur,Bachelor/ Handelsschule,Turkish,equally both,equally both,less than 2 days/week,4 good ,okay,Turkic
P16,Update,das,f,23,Abitur,Bachelor/ Handelsschule,Turkish,equally both,equally both,less than 2 days/week,4 good ,okay,Turkic
P16,Feedback,das,f,23,Abitur,Bachelor/ Handelsschule,Turkish,equally both,equally both,less than 2 days/week,4 good ,okay,Turkic
P16,Influencer,der,f,23,Abitur,Bachelor/ Handelsschule,Turkish,equally both,equally both,less than 2 days/week,4 good ,okay,Turkic
P16,Content,das,f,23,Abitur,Bachelor/ Handelsschule,Turkish,equally both,equally both,less than 2 days/week,4 good ,okay,Turkic
P16,Design,das,f,23,Abitur,Bachelor/ Handelsschule,Turkish,equally both,equally both,less than 2 days/week,4 good ,okay,Turkic
P16,Tool,das,f,23,Abitur,Bachelor/ Handelsschule,Turkish,equally both,equally both,less than 2 days/week,4 good ,okay,Turkic
P16,Workshop,das,f,23,Abitur,Bachelor/ Handelsschule,Turkish,equally both,equally both,less than 2 days/week,4 good ,okay,Turkic
P16,Agency,die,f,23,Abitur,Bachelor/ Handelsschule,Turkish,equally both,equally both,less than 2 days/week,4 good ,okay,Turkic
P16,Agreement,das,f,23,Abitur,Bachelor/ Handelsschule,Turkish,equally both,equally both,less than 2 days/week,4 good ,okay,Turkic
P16,Mockup,das,f,23,Abitur,Bachelor/ Handelsschule,Turkish,equally both,equally both,less than 2 days/week,4 good ,okay,Turkic
P17,Laptop,das,f,23,Abitur,Abitur/ Gundschule,Turkish,equally both,equally both,less than 2 days/week,4 good ,okay,Turkic
P17,Call,der,f,23,Abitur,Abitur/ Gundschule,Turkish,equally both,equally both,less than 2 days/week,4 good ,okay,Turkic
P17,Meeting,das,f,23,Abitur,Abitur/ Gundschule,Turkish,equally both,equally both,less than 2 days/week,4 good ,okay,Turkic
P17,Update,das,f,23,Abitur,Abitur/ Gundschule,Turkish,equally both,equally both,less than 2 days/week,4 good ,okay,Turkic
P17,Feedback,das,f,23,Abitur,Abitur/ Gundschule,Turkish,equally both,equally both,less than 2 days/week,4 good ,okay,Turkic
P17,Influencer,der,f,23,Abitur,Abitur/ Gundschule,Turkish,equally both,equally both,less than 2 days/week,4 good ,okay,Turkic
P17,Content,das,f,23,Abitur,Abitur/ Gundschule,Turkish,equally both,equally both,less than 2 days/week,4 good ,okay,Turkic
P17,Design,das,f,23,Abitur,Abitur/ Gundschule,Turkish,equally both,equally both,less than 2 days/week,4 good ,okay,Turkic
P17,Tool,der,f,23,Abitur,Abitur/ Gundschule,Turkish,equally both,equally both,less than 2 days/week,4 good ,okay,Turkic
P17,Workshop,der,f,23,Abitur,Abitur/ Gundschule,Turkish,equally both,equally both,less than 2 days/week,4 good ,okay,Turkic
P17,Agency,die,f,23,Abitur,Abitur/ Gundschule,Turkish,equally both,equally both,less than 2 days/week,4 good ,okay,Turkic
P17,Agreement,das,f,23,Abitur,Abitur/ Gundschule,Turkish,equally both,equally both,less than 2 days/week,4 good ,okay,Turkic
P17,Mockup,der,f,23,Abitur,Abitur/ Gundschule,Turkish,equally both,equally both,less than 2 days/week,4 good ,okay,Turkic
P18,Laptop,das,m,40,Abitur,Abitur,Persian,equally both,more german,2-3 days/week,3 okay,okay,Indo-European
P18,Call,der,m,40,Abitur,Abitur,Persian,equally both,more german,2-3 days/week,3 okay,okay,Indo-European
P18,Meeting,die,m,40,Abitur,Abitur,Persian,equally both,more german,2-3 days/week,3 okay,okay,Indo-European
P18,Update,das,m,40,Abitur,Abitur,Persian,equally both,more german,2-3 days/week,3 okay,okay,Indo-European
P18,Feedback,das,m,40,Abitur,Abitur,Persian,equally both,more german,2-3 days/week,3 okay,okay,Indo-European
P18,Influencer,der,m,40,Abitur,Abitur,Persian,equally both,more german,2-3 days/week,3 okay,okay,Indo-European
P18,Content,der,m,40,Abitur,Abitur,Persian,equally both,more german,2-3 days/week,3 okay,okay,Indo-European
P18,Design,das,m,40,Abitur,Abitur,Persian,equally both,more german,2-3 days/week,3 okay,okay,Indo-European
P18,Tool,das,m,40,Abitur,Abitur,Persian,equally both,more german,2-3 days/week,3 okay,okay,Indo-European
P18,Workshop,der,m,40,Abitur,Abitur,Persian,equally both,more german,2-3 days/week,3 okay,okay,Indo-European
P18,Agency,der,m,40,Abitur,Abitur,Persian,equally both,more german,2-3 days/week,3 okay,okay,Indo-European
P18,Agreement,das,m,40,Abitur,Abitur,Persian,equally both,more german,2-3 days/week,3 okay,okay,Indo-European
P18,Mockup,das,m,40,Abitur,Abitur,Persian,equally both,more german,2-3 days/week,3 okay,okay,Indo-European
P19,Laptop,der,d,26,Abitur,Bachelor,Singhalese,equally both,more german,5 days/week,4 good ,very good,Indo-European
